Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5,Zrodlo,Pewnosc
LEKI PRZECIWGRZYBICZE,Wskazania,lekarski,testowe,Flukonazol:,W leczeniu kandydozy jamy ustnej nie jest skuteczny po podaniu dawki jednorazowej,,,,,Ma małą biodostępność po podaniu doustnym,Powinien być podawany profilaktycznie pacjentom leczonym szerokospektralnymi lekami przeciwbakteryjnymi z powodu zakażenia układu oddechowego,Istotnie hamuje syntezę hormonów steroidowych,,,EGZ 2019 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Wyłącznie na ustroje gram dodatnie działa:,Mupriocyna,,,,,Metronidazol,Fosfomycyna,Gentamycyna,,,EGZ 2019 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu rzęsistkowicy (Trichomonas Vaginalis) wykorzystuje się:,Tynidazol,Metronidazol,,,,Sulfametoksazol+trymetoprym,Spiramycynę,,,,EGZ 2019 I termin,wysoka
LEKI PRZECIWWIRUSOWE,Działania niepożądane,lekarski,testowe,Do charakterystycznych działań niepożądanych inhibitorów proteazy HIV należy/należą:,Liczne interakcje lekowe,Cukrzyca,Uszkodzenie wątroby,Hipertriglicerydemia,,,,,,,EGZ 2019 I termin,niska
LEKI PRZECIWGRZYBICZE,Wskazania,lekarski,testowe,W zakażeniu o etiologii Candida albicans można zastosować miejscowo:,Natamycynę,Mykonazol,,,,Mykafunginę,Izawukonazol,,,,EGZ 2019 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Monitorowanie,lekarski,testowe,Jeśli celem farmakodynamicznym dla stosowanego antybiotyku jest wysoka wartość T>MIC to powinno się:,Monitorować stężenie leku we krwi w celu modyfikacji dawkowania,Podawać lek w przedłużonym wlewie dożylnym,Zwiększać częstość podawania leku w ciągu doby,,,Podać lek w pojedynczej skumulowanej dawce dobowej,,,,,EGZ 2019 I termin,niska
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,"Do przestarzałych środków odkażających, które z powodu braku skuteczności lub istotnych działań niepożądanych nie powinny być obecnie stosowane należy:",Nadmanganian potasu,Tetraboran sodowy,,,,Oktenidyna,Jodopowidon,,,,EGZ 2019 I termin,srednia
LEKI PRZECIWPASOŻYTNICZE,Wskazania,lekarski,testowe,Wskaż prawidłowe stwierdzenia dotyczące profilaktyki i leczenia malarii:,Lumefantryna w połączeniu z artemeterem może być skuteczna w zakażeniu Plasmodium falciparum,W przypadkach wymagających profilaktyki długoterminowej można zastosować chlorochinę,,,,Pochodne artemizyniny zalecane są tylko do profilaktyki malarii,Atowakwon z proguanilem może być stosowany u osób z upośledzoną czynnością nerek (GFR<30),,,,EGZ 2019 I termin,wysoka
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Do przyczyn jatrogennej nefropatii można zaliczyć stosowanie:,Jodowych środków kontrastowych podczas koronarografii,Ibuprofenu przewlekle w reumatoidalnym zapaleniu stawów,Ramiprylu w niewydolności serca,,,Loratadyny przewlekle w alergicznym zapaleniu błony śluzowej nosa,,,,,EGZ 2019 I termin,niska
FARMAKOKINETYKA,Farmakokinetyka,lekarski,testowe,Wskaż prawdziwe zdania dotyczące leczenia morfiną:,Metabolity morfiny wydalane są przez nerki,"Przy przewlekłym stosowaniu morfiny powstaje morfino-6-glukuronian – metabolit, którego siła działania analgetycznego przewyższa siłę działania związku macierzystego",Morfina może być podawana zewnątrzoponowo,,,Morfina ma dużą biodostępność po podaniu doustnym,,,,,EGZ 2019 I termin,srednia
CUKRZYCA,Wskazania,lekarski,testowe,Wskazanie do insulinoterapii jest:,Cukrzyca typu LADA,Ostry zespół wieńcowy u osoby z cukrzycą typu II,Znaczna hiperglikemia (>300) w przebiegu cukrzycy typu II,Cukrzyca ciężarnych,,,,,,,EGZ 2019 I termin,wysoka
CUKRZYCA,Klasyfikacja,lekarski,testowe,Długodziałające analogii insuliny w porównaniu do insuliny protaminowo-cynkowej (NPH) charakteryzują się:,Mniejszym ryzykiem hipoglikemii,,,,,Mniejszym ryzykiem onkologicznym,Większym ryzykiem zjawiska brzasku,Działaniem anorektycznym,,,EGZ 2019 I termin,srednia
TARCZYCA,Klasyfikacja,lekarski,testowe,Zmniejszenie obwodowej konwersji tyroksyny do trójjodotyroniny jest efektem stosowania:,Hydrokortyzonu,Propylotiouracylu,Propanololu,,,Płynu Lugola,,,,,EGZ 2019 I termin,srednia
OSTEOPOROZA,Wskazania,lekarski,testowe,Wskazaniem do stosowania hormonalnej terapii zastępczej u kobiet po menopauzie jest:,Obecność objawów wypadowych,,,,,Wtórna profilaktyka chorób układu krążenia,Profilaktyka osteoporozy,Zapobieganie chorobie Alzheimera,,,EGZ 2019 I termin,niska
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Klasyfikacja,lekarski,testowe,Przeciwbólowy efekt pułapowy wykazuje:,Naproksen,Buprenorfina,Ibuprofen,,,Oksykodon,,,,,EGZ 2019 I termin,srednia
ZABURZENIA RYTMU SERCA,Mechanizm działania,lekarski,testowe,Teofilina:,Jest anatgonistą receptora adenozynowego,Hamuje aktywność fosfodiesteraz,Zwiększa przepływ nerkowy,Pobudza ośrodek oddechowy w rdzeniu przedłużonym,,,,,,,EGZ 2019 I termin,niska
FARMAKOKINETYKA,Farmakokinetyka,lekarski,testowe,Idealny glikokortykosteroid wziewny:,Połknięty charakteryzuje się niewielką biodostępnością,,,,,Dobrze wchłania się z pęcherzyków płucnych,Nie podlega efektowi pierwszego przejścia przez wątrobę,Ma krótki okres półtrwania kompleksu glikokortkosteroidu z receptorem t1/2=2-3h,,,EGZ 2019 I termin,wysoka
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Klasyfikacja,lekarski,testowe,Działanie keratolityczne wykazuje:,Mocznik,Kwas salicylowy,Nadtlenek benzoilu,,,Metoksalen,,,,,EGZ 2019 I termin,niska
LEKI PRZECIWDEPRESYJNE,Antidotum,lekarski,testowe,W zatruciu solami litu:,Należy natychmiast zakończyć podawanie litu,"W leczeniu ostrego zatrucia istotne znaczenie ma intensywne wyrównanie zaburzeń gospodarki wodno-elektrolitowej, zwłaszcza uzupełnianie niedoboru sodu poprzez przetaczanie roztworu 0,9% NaCl dożylnie",Podstawową metodą eliminacji leku jest hemodializa,,,Korzystne działanie ma stosowanie węgla aktywowanego,,,,,EGZ 2019 I termin,niska
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Doksycyklina:,w niewielkim stopniu penetruje do ośrodkowego układu nerwowego,tworzy chelaty z solami żelaza,jest stosowana w leczeniu zakażeń układu moczowego o etiologii Chlamydia trachomatis,nie wykazuje aktywności wobec Pseudomonas aeruginosa,,,,,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Fluorochinolony:,mogą spowodować zapalenie ścięgien,mogą być przyczyną zaburzeń rytmu serca,,,,wszystkie generacje mają zbliżoną skuteczność przeciwko Gram ujemnym pałeczkom niefermentującym,są agonistami receptorów GABA-A wywołując efekt sedatywny,,,,EGZ 2018 I termin,niska
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,Wskaż prawdziwe połączenie lek – mechanizm działania:,linezolid- hamowanie biosyntezy białka w komórkach bakterii poprzez wiązanie się z podjednostką 50 S rybosomu,,,,,cefuroksym – hamowanie topoizomerazy II,moksyfloksacyna - blokowanie syntezy ściany komórkowej bakterii,wankomycyna - uszkodzenie DNA,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Wskaż prawdziwe połączenie lek – działania niepożądane:,tygecyklina - nadwrażliwość na światło,metronidazol - neuropatia obwodowa,wankomycyna – uwalnianie histaminy,,,azytromycyna – blokowanie wątrobowych enzymów mikrosomalnych (CYP),,,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Błędny schemat terapeutyczny to zastosowanie:,loperamidu w zapalnej biegunce poantybiotykowej przez 10 dni,,,,,azytromycyny w krztuścu przez 5 dni,kotrymoksazolu w niepowikłanym zakażeniu układu moczowego przez 3 dni,fenoksymetylpenicyliny w anginie paciorkowcowej przez 10 dni,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu 60-letniego pacjenta z pozaszpitalnym zapaleniem płuc (skala CURB-0pkt) uwzględniającym typową etiologię zakażenia u dorosłych należy:,stosować stałe optymalne przedziały dawkowania w ciągu całej doby,w razie nadwrażliwości na leczenie początkowe w wywiadach zastosować lewofloksacynę lub moksyfloksacynę,,,,leczyć 2 lekami przeciwbakteryjnymi o różnych mechanizmach działania,prowadzić terapię co najmniej 21 dni,,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu zapalenia opon mózgowo-rdzeniowych uzasadnione jest zastosowanie:,ceftriaksonu,acyklowiru,meropenemu,flukonazol,,,,,,,EGZ 2018 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Wyłącznie na drobnoustroje Gram ujemne działa:,aztreonam,,,,,mupirocyna,kwas fusydowy,metronidazol,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu toksoplazmozy wykorzystuje się:,pirymetaminę z sulfadiazyną,spiramycynę,,,,dalfoprystynę/chinuprystynę,oksytetracyklinę,,,,EGZ 2018 I termin,wysoka
CUKRZYCA,Działania niepożądane,lekarski,testowe,Do odległych działań niepożądanych terapii HAART (Highly Active Antiretroviral Therapy) należy:,uszkodzenie wątroby,lipodystrofia,kwasica mleczanowa,insulinooporność,,,,,,,EGZ 2018 I termin,srednia
LEKI PRZECIWGRZYBICZE,Wskazania,lekarski,testowe,W grzybiczym zakażeniu paznokci można zastosować,amorolfinę,,,,,natamycynę,klotrymazol,kaspofunginę,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Efekt bakteriobójczy zależny od skumulowanej ekspozycji (AUC24/MIC) wykazuje:,lewofloksacyna,azytromycyna,,,,amoksycylina z kwasem klawulanowym,amikacyna,,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Do odkażania rany w obrębie skóry można zastosować:,oktenidynę,jodopowidon,,,,wodę do wstrzyknięć,kwas borowy,,,,EGZ 2018 I termin,niska
FARMAKOLOGIA OGÓLNA I EBM,Klasyfikacja,lekarski,testowe,Koszt dodatkowego roku życia skorygowanego o jakość (ang. QALY – quality adjusted life year):,stanowi formalne kryterium refundacyjne zgodnie z obowiązującymi regulacjami prawnymi,jest wynikiem analizy kosztów użyteczności,"jego wartość progowa, czyli maksymalna dla procedur uznanych za kosztowo efektywne, stanowi 3-krotność produktu krajowego brutto per capita zgodnie z obowiązującymi regulacjami prawnymi",,,możliwy jest do oszacowania tylko w przypadku procedur zmniejszających umieralność całkowitą,,,,,EGZ 2018 I termin,niska
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,U pacjenta z niewydolnością nerek należy dokonać modyfikacji dawek:,wankomycyny,cyprofloksacyny,gentamycyny,,,erytromycyny,,,,,EGZ 2018 I termin,wysoka
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,Rotacja opioidów jest uzasadniona w przypadku:,nudności,zaburzeń świadomości,długotrwałej (bezterminowej) terapii w celu ułatwienia jej prowadzenia,,,zaparć,,,,,EGZ 2018 I termin,srednia
CUKRZYCA,Klasyfikacja,lekarski,testowe,Dapagliflozyna:,zwiększa ryzyko zakażeń układu moczowo-płciowego,może spowodować kwasicę ketonową,,,,zmniejsza glukozurię,nie może być stosowana łącznie z insuliną,,,,EGZ 2018 I termin,srednia
CUKRZYCA,Wskazania,lekarski,testowe,Wskaż zdanie prawdziwe:,zwiększenie stężenia glukozy w godzinach porannych poprzedzone hipoglikemią nocną może być wskazaniem do zmniejszenia dawki insuliny bazowej,efekt brzasku może zmniejszyć zastosowanie długodziałających bezszczytowych analogów insuliny,kardioprotekcyjne działanie empagliflozyny może mieć związek z usprawnieniem procesów energetycznych w komórkach mięśnia sercowego,,,insulina izofanowa (NPH) jest przeznaczona do stosowana przed głównymi posiłkami,,,,,EGZ 2018 I termin,wysoka
TARCZYCA,Wskazania,lekarski,testowe,W leczeniu nadczynności tarczycy można zastosować:,jod promieniotwórczy 131 I,płyn Lugola,tiamazol,propranolol,,,,,,,EGZ 2018 I termin,srednia
HORMONY PŁCIOWE,Klasyfikacja,lekarski,testowe,Do progestagenów należy:,megestrol,noretysteron,,,,dutasteryd,anastrozol,,,,EGZ 2018 I termin,srednia
HEMOSTAZA,Wskazania,lekarski,testowe,Do leków antyagregacyjnych stosowanych w profilaktyce wtórnej udaru niedokrwiennego mózgu na podłożu miażdżycy naczyń do- i mózgowych należą:,klopidogrel,kwas acetylosalicylowy,,,,tikagrelor,prasugrel,,,,EGZ 2018 I termin,wysoka
LEKI MOCZOPĘDNE,Sposób podania,lekarski,testowe,W ciężkiej hiperkalcemii (>15mg/dl) można zastosować dożylnie:,kalcytoninę,pamidronian,hydrokortyzon,furosemid,,,,,,,EGZ 2018 I termin,niska
GLIKOKORTYKOSTEROIDY,Klasyfikacja,lekarski,testowe,Immunosupresyjne działanie glikokortykosteroidów jest spowodowane:,redukcją liczby limfocytów T,zahamowaniem funkcji makrofagów tkankowych,,,,zwiększeniem syntezy IL-2,aktywacją fosfolipazy A2 i zmniejszeniem syntezy prostaglandyn,,,,EGZ 2018 I termin,niska
OSTEOPOROZA,Klasyfikacja,lekarski,testowe,"91-letni mężczyzna jest leczony od co najmniej 6 miesięcy tamsulozyną, finasterydem, diosminą, piracetamem, zolpidemem, witaminą D3 w dużej dawce i węglanem wapnia. Na tej podstawie można powiedzieć, że:",choruje na rozrost gruczołu krokowego,jest uzależniony od zolpidemu,można bez konsekwencji odstawić piracetam,terapia zmniejsza ryzyko osteoporotycznych złamań kości,,,,,,,EGZ 2018 I termin,srednia
STANY NAGŁE,Antidotum,lekarski,testowe,Witamina K1 (fitomenadion):,może być wskazana u osób ze spontanicznym zwiększeniem INR>GGN (górnej granicy normy) spowodowanym antybiotykami niszczącymi fizjologiczną florę jelit,nie antagonizuje działania heparyny,może spowodować reakcję rzekomoanafilaktyczną,jest antidotum w przedawkowaniu pochodnych hydroksykumaryny,,,,,,,EGZ 2018 I termin,wysoka
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Działanie zapierające wykazuje:,oksykodon,werapamil,oktreotyd,,,fosforan sodu,,,,,EGZ 2018 I termin,wysoka
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,W leczeniu ostrej biegunki u dzieci uzasadnione jest zastosowanie:,probiotyku S. boulardi,racekadotrylu,doustnego płynu nawadniającego,,,loperamidu,,,,,EGZ 2018 I termin,wysoka
UKŁAD POKARMOWY,Mechanizm działania,lekarski,testowe,Wybierz prawidłowe połączenie lek - mechanizm działania:,itopryd - antagonista receptora D2,alwimopan - antagonista receptora μ,,,,alweryna - agonista receptora motylinowego,simetykon - agonista receptora 5-HT4,,,,EGZ 2018 I termin,niska
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,lekarski,testowe,W kolce wątrobowej uzasadnione jest podanie:,ketoprofenu i.v,papaweryny i.m,butylobromku skopolaminy p.r,buprenorfiny i.m,,,,,,,EGZ 2018 I termin,niska
BÓLE GŁOWY,Ciąża,lekarski,testowe,Sumatryptan:,pobudzając receptory 5-HT1D wywołuje wybiórczy skurcz naczyń i przerywa napad migreny,jest niezalecany u pacjentów z chorobą niedokrwienną serca,,,,może być stosowany jedynie podskórnie,może być podawany w czasie ciąży,,,,EGZ 2018 I termin,srednia
UKŁAD WSPÓŁCZULNY,Wskazania,lekarski,testowe,W profilaktyce bólów migrenowych znalazł zastosowanie:,topiramat,erenumab,propranolol,toksyna botulinowa,,,,,,,EGZ 2018 I termin,niska
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Erytropoetyna może zwiększyć:,wartości ciśnienia tętniczego,krzepliwość krwi,maksymalną wydolność wysiłkową,,,aktywność amylazy w surowicy,,,,,EGZ 2018 I termin,niska
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,lekarski,testowe,W profilaktyce wymiotów w przebiegu kinetoz stosuje się:,skopolaminę,dimenhydrinat,,,,haloperydol,betahistynę,,,,EGZ 2018 I termin,niska
UKŁAD WSPÓŁCZULNY,Sposób podania,lekarski,testowe,Oksymetazolina:,może doprowadzić do wystąpienia tzw. efektu „ z odbicia”,,,,,jest antagonistą receptorów adrenergicznych alfa,wykazuje skuteczność kliniczną po 5. dniach terapii,jest podawana doustnie,,,EGZ 2018 I termin,srednia
UKŁAD PRZYWSPÓŁCZULNY,Działania niepożądane,lekarski,testowe,Petydyna:,ma działanie zapierające,nietypowo dla swojej grupy farmakologicznej rozszerza źrenice,hamuje ośrodek oddechowy,stosowana długotrwale działa neurotoksycznie przez kumulujący się metabolit,,,,,,,EGZ 2018 I termin,niska
HEMOSTAZA,Wskazania,lekarski,testowe,Wskaż prawdziwe stwierdzenie dotyczące małopłytkowości typu II wywołanej heparyną:,stwierdzenie małopłytkowości immunologicznej w przebiegu leczenia heparyną jest wskazaniem do jej natychmiastowego odstawienia,HIT II wiąże się z 20–40-krotnym zwiększeniem ryzyka zakrzepicy żylnej,,,,HIT II występuje najczęściej po 3 tygodniach od rozpoczęcia terapii heparyną,heparyny drobnocząsteczkowe nie stwarzają ryzyka wystąpienia trombocytopenii immunologicznej,,,,EGZ 2018 I termin,srednia
HEMOSTAZA,Ciąża,lekarski,testowe,U kobiet w trzecim trymestrze ciąży przeciwwskazany/-a jest:,ketoprofen,walsartan,acenokumarol,,,enoksaparyna,,,,,EGZ 2018 I termin,srednia
HEMOSTAZA,Wskazania,lekarski,testowe,U pacjenta leczonego przeciwzakrzepowo dabigatranem ze stwierdzonym umiarkowanym aktywnym krwawieniem należy:,odroczyć podanie kolejnej dawki leku,zapewnić podaż płynów,rozważyć podanie węgla aktywowanego jeśli dabigatran był podany niedawno,,,zastosować siarczan protaminy,,,,,EGZ 2018 I termin,wysoka
HEMOSTAZA,Wskazania,lekarski,testowe,Nadroparyna:,może być podawana dożylnie,jest skuteczna w leczeniu zakrzepicy żył głębokich,,,,jest antagonistą receptora PAR-1,w profilaktyce zakrzepicy żylnej powinna być podana nie później niż 36 godzin przed zabiegiem chirurgicznym,,,,EGZ 2018 I termin,srednia
HEMOSTAZA,Wskazania,lekarski,testowe,Wskazaniem do podania tkankowego aktywatora plazminogenu (t-PA) może być:,zatorowość płucna wysokiego ryzyka (czyli z niestabilnością hemodynamiczną),ostry zator tętnicy kończyny dolnej,ostry udar niedokrwienny mózgu,,,ostry zespół wieńcowy bez uniesienia odcinka ST,,,,,EGZ 2018 I termin,srednia
HEMOSTAZA,Sposób podania,lekarski,testowe,W udarze niedokrwiennym mózgu należy:,obniżać ciśnienie tętnicze jeśli przekracza wartości 220/120 mmHg,podać doustnie kwas acetylosalicylowy jeżeli nie można zastosować leczenia trombolitycznego,,,,stosować duże dawki heparyny niefrakcjonowanej,profilaktycznie podawać antybiotyki β-laktamowe ze względu na bardzo częste występowanie infekcji dróg oddechowych,,,,EGZ 2018 I termin,srednia
HEMOSTAZA,Mechanizm działania,lekarski,testowe,Inhibitory reduktazy HMG-CoA zwiększają produkcję:,tkankowego aktywatora plazminogenu,tlenku azotu,,,,metaloproteinaz,tromboksanu A2,,,,EGZ 2018 I termin,niska
HEMOSTAZA,Działania niepożądane,lekarski,testowe,20% roztwór albumin:,powoduje ponad 100% przyrost objętości osocza,działa objętościowo do 6 h,,,,może spowodować uszkodzenie nerek,ma istotny wpływ na krzepnięcie krwi,,,,EGZ 2018 I termin,niska
UKŁAD PRZYWSPÓŁCZULNY,Działania niepożądane,lekarski,testowe,Zastosowanie atrakurium może być przyczyną:,długotrwałego efektu zwiotczającego,,,,,drżenia włókienkowego mięśni szkieletowych,anestezji,hipertermii złośliwej,,,EGZ 2018 I termin,srednia
LEKI MOCZOPĘDNE,Wskazania,lekarski,testowe,Torasemid:,hamuje symporter sodowo-potasowo-chlorkowy części grubościennej ramienia wstępującego pętli Henlego,zwiększa aktywność reninową osocza,,,,zmniejsza wydalanie wapnia z moczem,"jest nieskuteczny, jeśli eGFRr < 30 ml/min",,,,EGZ 2018 I termin,niska
FARMAKOLOGIA OGÓLNA I EBM,Klasyfikacja,lekarski,testowe,Formularz świadomej zgody uczestnika na udział w badaniu klinicznym powinien zostać podpisany:,przez uczestnika badania,przez badacza,w dwóch egzemplarzach,,,bezpośrednio po badaniach oceniających czy pacjent spełnia kryteria włączenia do badania,,,,,EGZ 2018 I termin,srednia
LEKI PRZECIWPASOŻYTNICZE,Wskazania,lekarski,testowe,W leczeniu zarażenia owsikiem skuteczny jest:,mebendazol,albendazol,pyrantel,,,tynidazol,,,,,EGZ 2018 I termin,wysoka
LEKI PRZECIWWIRUSOWE,Wskazania,lekarski,testowe,Cytomegalię u osób z niedoborami odporności należy leczyć stosując:,gancyklowir,,,,,zanamiwir,acyklowir,oseltamiwir,,,EGZ 2018 I termin,wysoka
